Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
3090,16008.1,195187.20,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate.csv,US East (N. Virginia),,Amazon EC2 ,0,7843.12,94117.44,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c5a.24xlarge), Pricing strategy ( 1yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate.csv,US East (N. Virginia),,DynamoDB provisioned capacity,3090,5599.7,70286.40,USD,,"Table class (Standard), Average item size (all attributes) (20 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (20 TB)"
Increased_Cost Estimate.csv,US East (N. Virginia),,DynamoDB Backup and restore,0,0,0.00,USD,,
Increased_Cost Estimate.csv,US East (N. Virginia),,Amazon Route 53,0,0,0.00,USD,,
Increased_Cost Estimate.csv,US East (N. Virginia),,Application Load Balancer,0,220.83,2649.96,USD,,Number of Application Load Balancers (1)
Increased_Cost Estimate.csv,US East (N. Virginia),,VPN Connection,0,0,0.00,USD,,Working days per month (22)
Increased_Cost Estimate.csv,US East (N. Virginia),,S3 Standard,0,1259.25,15111.00,USD,,"S3 Standard storage (50 TB per month), Data scanned by S3 Select (10 TB per month), Data returned by S3 Select (10 TB per month), PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (10000000)"
Increased_Cost Estimate.csv,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Increased_Cost Estimate.csv,US East (N. Virginia),,Amazon CloudFront,0,1085.2,13022.40,USD,,"Data transfer out to internet (10 TB per month), Number of requests (HTTPS) (10 million per month), Data transfer out to origin (10 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
